ar;kod;namn;kommunvalkrets_kod;kommunvalkrets;lokal;adress1;adress2;adress3;postort;tillganglighet;status;x_rt90;y_rt90;latitud;longitud;koord_kalla;valdag;dag;oppetpass;aktiv_rd;aktiv_rf;aktiv_kf;aktiv_eu;valdag_eu;kommun_klar;lokal_klar;valnamnd;hemsida;telnr;kalla_fil
2014;14801054;Majorna-Linné, Oscar Fredrik;148003;Göteborg, Centrum;Oscar Fredriksskolan;Matsalen;Oscar Fredriks Kyrkogata 5;;;;E;6403471;1270021;57.697134;11.947295;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801055;Majorna-Linné, Slottsskogen;148003;Göteborg, Centrum;Stiftelsen Vegahusen;Vegasalen;Vegagatan 55;;;;E;6402703;1269987;57.690237;11.947458;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801056;Majorna-Linné, Stigberget;148003;Göteborg, Centrum;Fjällskolan;Matsalsentrén, till höger;Fjällgatan 40;;;;E;6403264;1269515;57.695021;11.939026;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801057;Majorna-Linné, Vegastaden;148003;Göteborg, Centrum;Oscar Fredriksskolan;Matsalen;Oscar Fredriks Kyrkogata 5;;;;E;6403426;1269962;57.696701;11.946350;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801061;Majorna-Linné, Änggården;148003;Göteborg, Centrum;Botanhuset;C-husets entré;Carl Skottbergsgatan 22 B;;;;E;6401783;1270108;57.682057;11.950359;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801071;Majorna-Linné, Haga;148003;Göteborg, Centrum;Handelshögskolan;C 32;Vasagatan 1;;;;E;6403447;1270866;57.697350;11.961456;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801072;Majorna-Linné, Skansberget;148003;Göteborg, Centrum;Handelshögskolan;D 34;Vasagatan 1;;;;E;6403447;1270866;57.697350;11.961456;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801081;Majorna-Linné, Annedal;148003;Göteborg, Centrum;Annedals äldreboende;Restaurang Mejram;Carl Grimbergsgatan 11;;;;E;6402945;1270725;57.692781;11.959574;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801082;Majorna-Linné, Nilssonsberg;148003;Göteborg, Centrum;Handelshögskolan;D 31;Vasagatan 1;;;;E;6403447;1270866;57.697350;11.961456;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801091;Majorna-Linné, Kommendantsängen;148003;Göteborg, Centrum;Handelshögskolan;C 33;Vasagatan 1;;;;E;6403477;1270873;57.697622;11.961544;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801092;Majorna-Linné, Linné;148003;Göteborg, Centrum;Oscar Fredriks församl.hem;Stora salen;Oscar Fredriks kyrkogata 1;;;;E;6403444;1270016;57.696890;11.947237;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801093;Majorna-Linné, Linnéplatsen;148003;Göteborg, Centrum;Stiftelsen Vegahusen;Vegasalen;Vegagatan 55;;;;E;6402703;1269987;57.690237;11.947458;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
