ar;lokal;adress;antal_distrikt;koder;distriktnamn;latitud;longitud;antal_koordinater
2014;Nya Lundenskolan;Kärralundsgatan 3;6;14802081 14802082 14802083 14802084 14802085 14802086;Örgryte-Härlanda, Kärralund | Örgryte-Härlanda, Lunden, Gamla | Örgryte-Härlanda, Lunden, Nya | Örgryte-Härlanda, Nobelplatsen | Örgryte-Härlanda, Sankt Pauli | Örgryte-Härlanda, Överås;57.708018;12.010242;1
2014;Nya Långedragsskolan;Dingegatan 6;1;14805021;Västra Göteborg, Långedrag;57.673365;11.859791;1
2014;Nya Påvelundsskolan;Ängkärrsvägen 22;2;14805011 14805014;Västra Göteborg, Björnekulla | Västra Göteborg, Påvelund;57.666330;11.873152;1
2014;Nya Varvets skola;Finnjollegatan 1;1;14805032;Västra Göteborg, Nya Varvet;57.679454;11.891443;1
2014;Nya Åkeredsskolan;Brungatan 10;1;14805213;Västra Göteborg, Åkered;57.631912;11.892998;1
2014;Nygårdsskolan;Äsebackevägen 2;4;14805252 14805254 14805255 14805256;Askim-Frölunda-Högsbo, Brottkärr | Askim-Frölunda-Högsbo, Lyckhem | Askim-Frölunda-Högsbo, Nygård | Askim-Frölunda-Högsbo, Skintebo;57.590913;11.945645;1
2014;Näsetskolan;Norra Breviksvägen 15;2;14805211 14805212;Västra Göteborg, Näset, Norra | Västra Göteborg, Näset, Södra;57.624286;11.892563;1
2014;Oscar Fredriks församl.hem;Oscar Fredriks kyrkogata 1;2;14801092 14801095;Majorna-Linné, Linné | Majorna-Linné, Olivedal;57.696890;11.947237;1
2014;Oscar Fredriksskolan;Oscar Fredriks Kyrkogata 5;2;14801054 14801057;Majorna-Linné, Oscar Fredrik | Majorna-Linné, Vegastaden;57.696701;11.946350;2
2014;Rambergskyrkans församl.hem;Övre Hallegatan 27;1;14804153;Lundby, Brämaregården-Rambergsstaden;57.719913;11.938888;1
2014;Ramsdalsskolan;Hundraårsgatan 1;3;14803031 14803032 14803033;Östra Göteborg, Gregorianska g. m fl | Östra Göteborg, Kortedala Centrum | Östra Göteborg, Kortedala, Södra;57.749209;12.028916;1
2014;Rannebergsskolan;Fjällblomman 7;2;14806021 14806022;Angered, Rannebergen, Norra | Angered, Rannebergen, Södra;57.803270;12.068090;1
2014;Riksbyggen BRF;Hökegatan 12;1;14802011;Örgryte-Härlanda, Gubbero;57.716723;11.999942;1
2014;Rosendalsskolan;Sörensens gata 2;4;14802121 14802122 14802123 14802125;Örgryte-Härlanda, Björkekärr, Norra | Örgryte-Härlanda, Björkekärr, Södra | Örgryte-Härlanda, Björkekärr, Västra | Örgryte-Härlanda, Robertshöjd m fl;57.714237;12.047845;1
2014;Ryaskolan;Snövädersgatan 2;3;14807081 14807082 14807084;Västra Hisingen, Biskopsgården, S | Västra Hisingen, Treröset | Västra Hisingen, Väderlekstorget;57.714444;11.887947;1
2014;SK Argo klubbhus;Ekedalsgatan 26;1;14801031;Majorna-Linné, Godhem;57.687018;11.931859;1
2014;Samordningsförbundet Delta;Vågmästaregatan 1 D;1;14804025;Lundby, Kvillebäcken, Östra;57.720326;11.948586;1
2014;Sandeklevsskolan,  sal 5;Kvadrantgatan 86,;1;14803053;Östra Göteborg, Gärdsås;57.758204;12.059115;1
2014;Sandeklevsskolan, sal 4;Kvadrantgatan 86;1;14803051;Östra Göteborg, Bergsjön, Norra;57.758204;12.059115;1
2014;Sannaskolan;Jordhyttegatan 5, ingång C;3;14801013 14801014 14801021;Majorna-Linné, Mariaplan | Majorna-Linné, Silverkällan | Majorna-Linné, Sandarne;57.684499;11.913636;1
2014;Schillerska gymnasiet;Vasagatan 19;1;14801153;Centrum, Vasastaden, Södra;57.697642;11.968391;1
2014;Sjumilaskolan;Friskväderstorget 13;2;14807011 14807012;Västra Hisingen, Biskopsgården, N | Västra Hisingen, Svarte Mosse;57.725312;11.891491;1
2014;Skogomeskolan;Nya Skogomevägen;1;14804091;Norra Hisingen, Skogome-Sankt Jörgen;57.765552;11.946266;1
2014;Skutehagens skola;Skutehagsvägen 100-102;2;14807041 14807043;Västra Hisingen, Andalen | Västra Hisingen, Hällsvik;57.707113;11.761911;2
2014;Skytteskolan;Marklandsgatan 21;2;14805123 14805124;Askim-Frölunda-Högsbo, Högsbotorp, Ö | Askim-Frölunda-Högsbo, Marklandsg.;57.671878;11.934616;2
2014;Skälltorpsskolan;Selma Lagerlöfs torg 20;3;14804131 14804132 14804133;Norra Hisingen, Backadalen | Norra Hisingen, Bäckebol | Norra Hisingen, Selma Lagerlöfs torg;57.749579;11.983328;2
2014;Skårskolan;Snöskategatan 1;1;14802051;Örgryte-Härlanda, Jakobsdal;57.689511;12.007465;1
2014;Skårsskolan;Snöskategatan 1;2;14802052 14802053;Örgryte-Härlanda, Skår, Norra | Örgryte-Härlanda, Skår, Södra;57.689511;12.007465;1
2014;Solbackeskolan;Stjärnbildsgatan;1;14803062;Östra Göteborg, Bergsjön, Östra;57.760397;12.067311;1
2014;Stadsdelshuset Lundby;Weiselgrensgatan 11;1;14804156;Lundby, Rambergsstaden, Västra;57.724111;11.935096;1
2014;Stadsdelshuset Lundby;Wieselgrensgatan 11;1;14804023;Lundby, Kvillebäcken, Norra;57.723800;11.934928;1
2014;Stiftelsen Vegahusen;Vegagatan 55;2;14801055 14801093;Majorna-Linné, Slottsskogen | Majorna-Linné, Linnéplatsen;57.690237;11.947458;1
2014;Studium/Styrmansgatan;Styrmansgatan 21;1;14801035;Majorna-Linné, Marieberg;57.695461;11.928438;1
2014;Svartedalens äldrecentrum;Svartedalsgatan 2;1;14807031;Västra Hisingen, Badvädersgatan m fl;57.730774;11.900713;1
