val;kod_2014;namn_2014;indelning;kod_2010;namn_2010;matchning
rd;14807031;Västra Hisingen, Badvädersgatan m fl;Oförändrad;14801732;Biskopsgården, Badvädersgatan m fl;exakt
rd;14807032;Västra Hisingen, Stackmolnsg. m fl;Oförändrad;14801731;Biskopsgården, Stackmolnsgatan m fl;exakt
rd;14807041;Västra Hisingen, Andalen;Oförändrad;14801613;Torslanda, Andalen;exakt
rd;14807042;Västra Hisingen, Hjuvik;Oförändrad;14801611;Torslanda, Hjuvik;exakt
rd;14807043;Västra Hisingen, Hällsvik;Oförändrad;14801612;Torslanda, Hällsvik;exakt
rd;14807051;Västra Hisingen, Amhult-Arendal;Oförändrad;14801625;Torslanda, Amhult-Arendal;exakt
rd;14807052;Västra Hisingen, Domarringen m fl;Oförändrad;14801622;Torslanda, Domarringen m fl;exakt
rd;14807053;Västra Hisingen, Nolered;Oförändrad;14801624;Torslanda, Nolered;exakt
rd;14807054;Västra Hisingen, Torslanda;Oförändrad;14801623;Torslanda, Torslanda;exakt
rd;14807055;Västra Hisingen, Tumlehed;Oförändrad;14801621;Torslanda, Tumlehed;exakt
rd;14807061;Västra Hisingen, Björlanda;Modifierad;;;ingen FGVAL
rd;14807062;Västra Hisingen, Kvisljungeby;Modifierad;;;ingen FGVAL
rd;14807063;Västra Hisingen, Lilleby;Modifierad;;;ingen FGVAL
rd;14807064;Västra Hisingen, Älvegården m fl;Modifierad;;;ingen FGVAL
rd;14807081;Västra Hisingen, Biskopsgården, S;Oförändrad;14801741;Biskopsgården, Södra Biskopsgården;exakt
rd;14807082;Västra Hisingen, Treröset;Oförändrad;14801743;Biskopsgården, Treröset;exakt
rd;14807083;Västra Hisingen, Vårväderstorget;Oförändrad;14801744;Biskopsgården, Vårväderstorget;exakt
rd;14807084;Västra Hisingen, Väderlekstorget;Oförändrad;14801742;Biskopsgården, Väderlekstorget;exakt
rd;14807091;Västra Hisingen, Jättesten;Oförändrad;14801751;Biskopsgården, Jättesten;exakt
rd;14807092;Västra Hisingen, Kärrmossen;Modifierad;;;ingen FGVAL
rd;14807093;Västra Hisingen, Svartedalen;Oförändrad;14801752;Biskopsgården, Svartedalen;exakt
kf;14800001;Uppsamlingsdistrikt;Oförändrad;14800001;;exakt
kf;14800002;Uppsamlingsdistrikt;Oförändrad;14800002;;exakt
kf;14800003;Uppsamlingsdistrikt;Oförändrad;14800003;;exakt
kf;14800004;Uppsamlingsdistrikt;Oförändrad;14800004;;exakt
kf;14801011;Majorna-Linné, Klippan;Oförändrad;14800916;Majorna, Klippan;exakt
kf;14801012;Majorna-Linné, Kungsladugård;Oförändrad;14800913;Majorna, Kungsladugård;exakt
kf;14801013;Majorna-Linné, Mariaplan;Oförändrad;14800914;Majorna, Mariaplan;exakt
kf;14801014;Majorna-Linné, Silverkällan;Oförändrad;14800915;Majorna, Silverkällan;exakt
kf;14801015;Majorna-Linné, Skytteskogen;Oförändrad;14800912;Majorna, Skytteskogen;exakt
kf;14801016;Majorna-Linné, Svalebo;Modifierad;;;ingen FGVAL
kf;14801021;Majorna-Linné, Sandarne;Oförändrad;14800921;Majorna, Sandarne;exakt
kf;14801031;Majorna-Linné, Godhem;Oförändrad;14800936;Majorna, Godhem;exakt
kf;14801032;Majorna-Linné, Gråberget;Oförändrad;14800934;Majorna, Gråberget;exakt
kf;14801033;Majorna-Linné, Hängmattan;Modifierad;;;ingen FGVAL
kf;14801034;Majorna-Linné, Majorna;Modifierad;;;ingen FGVAL
kf;14801035;Majorna-Linné, Marieberg;Modifierad;;;ingen FGVAL
kf;14801036;Majorna-Linné, Slottsskogsgatan m fl;Modifierad;;;ingen FGVAL
kf;14801041;Majorna-Linné, Djurgårdsgatan m fl;Oförändrad;14800943;Majorna, Djurgårdsgatan m fl;exakt
kf;14801042;Majorna-Linné, Gatenhielmska;Oförändrad;14800944;Majorna, Gatenhielmska;exakt
kf;14801043;Majorna-Linné, Karl Johans torg;Oförändrad;14800942;Majorna, Karl Johans torg;exakt
kf;14801044;Majorna-Linné, Söderlingska ängen;Oförändrad;14800941;Majorna, Söderlingska ängen;exakt
kf;14801051;Majorna-Linné, Masthugget, Nedre;Oförändrad;14800814;Linnéstaden, Nedre Masthugget;exakt
kf;14801052;Majorna-Linné, Masthugget, Övre;Oförändrad;14800811;Linnéstaden, Övre Masthugget;exakt
kf;14801053;Majorna-Linné, Masthuggstorget;Oförändrad;14800813;Linnéstaden, Masthuggstorget;exakt
kf;14801054;Majorna-Linné, Oscar Fredrik;Oförändrad;14800815;Linnéstaden, Oscar Fredrik;exakt
kf;14801055;Majorna-Linné, Slottsskogen;Oförändrad;14800817;Linnéstaden, Slottsskogen;exakt
kf;14801056;Majorna-Linné, Stigberget;Oförändrad;14800812;Linnéstaden, Stigberget;exakt
kf;14801057;Majorna-Linné, Vegastaden;Oförändrad;14800816;Linnéstaden, Vegastaden;exakt
kf;14801061;Majorna-Linné, Änggården;Oförändrad;14800821;Linnéstaden, Änggården;exakt
kf;14801071;Majorna-Linné, Haga;Modifierad;;;ingen FGVAL
kf;14801072;Majorna-Linné, Skansberget;Modifierad;;;ingen FGVAL
kf;14801081;Majorna-Linné, Annedal;Oförändrad;14800841;Linnéstaden, Annedal;exakt
kf;14801082;Majorna-Linné, Nilssonsberg;Oförändrad;14800842;Linnéstaden, Nilssonsberg;exakt
kf;14801091;Majorna-Linné, Kommendantsängen;Oförändrad;14800856;Linnéstaden, Kommendantsängen;exakt
kf;14801092;Majorna-Linné, Linné;Oförändrad;14800854;Linnéstaden, Linné;exakt
kf;14801093;Majorna-Linné, Linnéplatsen;Oförändrad;14800851;Linnéstaden, Linnéplatsen;exakt
kf;14801094;Majorna-Linné, Långgatorna;Oförändrad;14800853;Linnéstaden, Långgatorna;exakt
kf;14801095;Majorna-Linné, Olivedal;Oförändrad;14800852;Linnéstaden, Olivedal;exakt
kf;14801096;Majorna-Linné, Risåsen;Oförändrad;14800855;Linnéstaden, Risåsen;exakt
kf;14801097;Majorna-Linné, Sveaplan;Oförändrad;14800857;Linnéstaden, Sveaplan;exakt
kf;14801101;Centrum, Framnäs;Modifierad;;;ingen FGVAL
kf;14801102;Centrum, Fredriksdal;Modifierad;;;ingen FGVAL
kf;14801103;Centrum, Fridkullagatan m fl;Modifierad;;;ingen FGVAL
kf;14801104;Centrum, Getebergsäng;Modifierad;;;ingen FGVAL
kf;14801105;Centrum, Kristinehöjd;Modifierad;;;ingen FGVAL
kf;14801106;Centrum, Krokslätt;Modifierad;;;ingen FGVAL
kf;14801107;Centrum, Mossen;Modifierad;;;ingen FGVAL
kf;14801108;Centrum, Olofshöjd;Oförändrad;14800714;Centrum, Olofshöjd;exakt
kf;14801111;Centrum, Eklanda;Oförändrad;14800723;Centrum, Eklanda;exakt
kf;14801112;Centrum, Johanneberg, Nedre;Oförändrad;14800721;Centrum, Nedre Johanneberg;exakt
kf;14801113;Centrum, Johanneberg, Södra;Oförändrad;14800724;Centrum, Södra Johanneberg;exakt
kf;14801114;Centrum, Johanneberg, Övre;Oförändrad;14800722;Centrum, Övre Johanneberg;exakt
