ar;val;niva;kod;parti_kalla;parti;mandat;varav_utjamning;mandat_2002;roster;andel;mandat_totalt;kalla_fil
2006;rd;Västra Götalands läns södra;1419;V;V;0;0;0;6233;5.50;6;slutresultat_00R.xml
2006;rd;Västra Götalands läns södra;1419;MP;MP;0;0;0;4488;3.96;6;slutresultat_00R.xml
2006;rd;Västra Götalands läns södra;1419;ÖVR;ÖVR;0;0;0;7691;6.79;6;slutresultat_00R.xml
2006;rd;Västra Götalands läns västra;1417;M;M;4;0;2;54970;26.46;11;slutresultat_00R.xml
2006;rd;Västra Götalands läns västra;1417;C;C;1;0;1;15135;7.29;11;slutresultat_00R.xml
2006;rd;Västra Götalands läns västra;1417;FP;L;1;0;2;19937;9.60;11;slutresultat_00R.xml
2006;rd;Västra Götalands läns västra;1417;KD;KD;1;0;1;18101;8.71;11;slutresultat_00R.xml
2006;rd;Västra Götalands läns västra;1417;S;S;4;0;5;66705;32.11;11;slutresultat_00R.xml
2006;rd;Västra Götalands läns västra;1417;V;V;1;1;1;10877;5.24;11;slutresultat_00R.xml
2006;rd;Västra Götalands läns västra;1417;MP;MP;1;1;1;10086;4.86;11;slutresultat_00R.xml
2006;rd;Västra Götalands läns västra;1417;ÖVR;ÖVR;0;0;0;11907;5.73;11;slutresultat_00R.xml
2006;rd;Västra Götalands läns östra;1420;M;M;3;0;1;37484;23.52;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns östra;1420;C;C;1;0;1;16655;10.45;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns östra;1420;FP;L;1;1;1;8702;5.46;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns östra;1420;KD;KD;1;0;1;13091;8.21;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns östra;1420;S;S;4;0;4;61219;38.41;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns östra;1420;V;V;1;1;1;8165;5.12;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns östra;1420;MP;MP;0;0;0;5821;3.65;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns östra;1420;ÖVR;ÖVR;0;0;0;8251;5.18;9;slutresultat_00R.xml
2006;rd;Örebro län;1822;M;M;2;0;1;32222;18.81;10;slutresultat_00R.xml
2006;rd;Örebro län;1822;C;C;1;0;1;12781;7.46;10;slutresultat_00R.xml
2006;rd;Örebro län;1822;FP;L;1;0;1;11340;6.62;10;slutresultat_00R.xml
2006;rd;Örebro län;1822;KD;KD;1;0;1;12290;7.17;10;slutresultat_00R.xml
2006;rd;Örebro län;1822;S;S;5;0;5;73854;43.11;10;slutresultat_00R.xml
2006;rd;Örebro län;1822;V;V;1;1;1;10408;6.08;10;slutresultat_00R.xml
2006;rd;Örebro län;1822;MP;MP;1;1;1;7833;4.57;10;slutresultat_00R.xml
2006;rd;Örebro län;1822;ÖVR;ÖVR;0;0;0;10575;6.17;10;slutresultat_00R.xml
2006;rd;Östergötlands län;0505;M;M;4;0;3;65037;24.81;14;slutresultat_00R.xml
2006;rd;Östergötlands län;0505;C;C;1;0;1;19884;7.58;14;slutresultat_00R.xml
2006;rd;Östergötlands län;0505;FP;L;1;0;2;17117;6.53;14;slutresultat_00R.xml
2006;rd;Östergötlands län;0505;KD;KD;1;0;2;18831;7.18;14;slutresultat_00R.xml
2006;rd;Östergötlands län;0505;S;S;6;1;7;98062;37.40;14;slutresultat_00R.xml
2006;rd;Östergötlands län;0505;V;V;1;0;1;13628;5.20;14;slutresultat_00R.xml
2006;rd;Östergötlands län;0505;MP;MP;1;0;1;13402;5.11;14;slutresultat_00R.xml
2006;rd;Östergötlands län;0505;ÖVR;ÖVR;0;0;0;16207;6.18;14;slutresultat_00R.xml
