kod_2018;kod_2022;procent;jamforbart;namn_2018;namn_2022;avvikelse;kalla_fil
;14800514;;nej;;Västra Centrum Nordhem;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800515;;nej;;Västra Centrum Risåsen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800516;;nej;;Västra Centrum Olivedal;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801096;14800517;;ja;Majorna-Linné, Plantagegatan, m fl;Västra Centrum Plantagegatan m fl;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801073;14800518;;ja;Majorna-Linné, Skansberget;Västra Centrum Skansberget;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801071;14800519;;ja;Majorna-Linné, Haga Västra;Västra Centrum Haga Västra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801072;14800520;;ja;Majorna-Linné, Haga Östra;Västra Centrum Haga Östra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800521;;nej;;Västra Centrum Nilssonsberg Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800522;;nej;;Västra Centrum Nilssonsberg Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800523;;nej;;Västra Centrum Annedal Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800524;;nej;;Västra Centrum Annedal Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800525;;nej;;Västra Centrum Änggården;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801017;14800526;;ja;Majorna-Linné, Svalebo;Västra Centrum Svalebo;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800527;;nej;;Västra Centrum Skytteskogen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800528;;nej;;Västra Centrum Kungsladugård Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800529;;nej;;Västra Centrum Kungsladugård Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800530;;nej;;Västra Centrum Mariaplan;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800531;;nej;;Västra Centrum Silverkällan;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800532;;nej;;Västra Centrum Sannaplan;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800533;;nej;;Västra Centrum Sandarne;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800534;;nej;;Västra Centrum Klippan;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800535;;nej;;Västra Centrum Gröna Vallen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801036;14800536;;ja;Majorna-Linné, Majorna;Västra Centrum Kusttorget;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801031;14800537;;ja;Majorna-Linné, Chapmans Torg;Västra Centrum Chapmans Torg;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801038;14800538;;ja;Majorna-Linné, Slottsskogsgatan m fl;Västra Centrum Slottsskogsgat. m fl;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801034;14800539;;ja;Majorna-Linné, Gråberget, Östra;Västra Centrum Gråberget Västra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800540;;nej;;Västra Centrum Gråberget Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801032;14800541;;ja;Majorna-Linné, Godhem;Västra Centrum Godhem;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800542;;nej;;Västra Centrum Marieberg;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800543;;nej;;Västra Centrum Klareborgsgatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800544;;nej;;Västra Centrum Karl Johan;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800545;;nej;;Västra Centrum Söderlingska Ängen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801041;14800546;;ja;Majorna-Linné, Djurgårdsgatan m fl;Västra Centrum Kommendörsgatan m fl;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801035;14800547;;ja;Majorna-Linné, Hängmattan;Västra Centrum Hängmattan;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801042;14800548;;ja;Majorna-Linné, Gatenhielmska;Västra Centrum Gatenhielmska;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800601;;nej;;Sydvästra Göteborg Högsbohöjd Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800602;;nej;;Sydvästra Göteborg Högsbohöjd Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800603;;nej;;Sydvästra Göteborg Högsbohöjd Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800604;;nej;;Sydvästra Göteborg Högsbotorp V;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800605;;nej;;Sydvästra Göteborg Högsbotorp S;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800606;;nej;;Sydvästra Göteborg Högsbo;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800607;;nej;;Sydvästra Göteborg Högsbotorp Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800608;;nej;;Sydvästra Göteborg Marklandsgatan;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800609;;nej;;Sydvästra Göteborg Kapplandsgatan;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805102;14800610;;ja;Askim-Frölunda-Högsbo, Flatås, V;Sydvästra Göteborg Flatås Västra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805101;14800611;;ja;Askim-Frölunda-Högsbo, Flatås, S;Sydvästra Göteborg Flatås Södra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800612;;nej;;Sydvästra Göteborg Kaverös Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805093;14800613;;ja;Askim-Frölunda-Högsbo, Kavås;Sydvästra Göteborg Kavås;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805092;14800614;;ja;Askim-Frölunda-Högsbo, Kaverös, S;Sydvästra Göteborg Kaverös Södra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800615;;nej;;Sydvästra Göteborg Altplatsen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805142;14800616;;ja;Askim-Frölunda-Högsbo, Ruddalen;Sydvästra Göteborg Ruddalen;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805173;14800617;;ja;Askim-Frölunda-Högsbo, Gånglåten;Sydvästra Göteborg Gånglåten;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800618;;nej;;Sydvästra Göteborg Frölunda;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800619;;nej;;Sydvästra Göteborg Frölunda Torg V;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800620;;nej;;Sydvästra Göteborg Frölunda Torg Ö;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800621;;nej;;Sydvästra Göteborg Positivparken;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805131;14800622;;ja;Askim-Frölunda-Högsbo, Spinetten;Sydvästra Göteborg Spinetten;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805132;14800623;;ja;Askim-Frölunda-Högsbo, Tofta;Sydvästra Göteborg Tofta;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800624;;nej;;Sydvästra Göteborg Järnbrott Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800625;;nej;;Sydvästra Göteborg Järnbrott Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800626;;nej;;Sydvästra Göteborg Järnbrott Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805103;14800627;;ja;Askim-Frölunda-Högsbo, Flatås, Ö;Sydvästra Göteborg Flatås Östra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800628;;nej;;Sydvästra Göteborg Sisjön Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800629;;nej;;Sydvästra Göteborg Pilegården;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800630;;nej;;Sydvästra Göteborg Kobbegården;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800631;;nej;;Sydvästra Göteborg Askim;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800632;;nej;;Sydvästra Göteborg Sisjön Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800633;;nej;;Sydvästra Göteborg Sisjön Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800634;;nej;;Sydvästra Göteborg Trollåsen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800635;;nej;;Sydvästra Göteborg Lyckhem;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800636;;nej;;Sydvästra Göteborg Lindås;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805252;14800637;;ja;Askim-Frölunda-Högsbo, Billdal, S;Sydvästra Göteborg Billdal Södra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800638;;nej;;Sydvästra Göteborg Billdal Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800639;;nej;;Sydvästra Göteborg Nygård;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800640;;nej;;Sydvästra Göteborg Skintebo Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800641;;nej;;Sydvästra Göteborg Skintebo Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800642;;nej;;Sydvästra Göteborg Uggleberget;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800643;;nej;;Sydvästra Göteborg Brottkärr Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800644;;nej;;Sydvästra Göteborg Brottkärr Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805241;14800645;;ja;Askim-Frölunda-Högsbo, Hovås, Södra;Sydvästra Göteborg Hovås Södra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800646;;nej;;Sydvästra Göteborg Hovås Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805233;14800647;;ja;Askim-Frölunda-Högsbo, Hult;Sydvästra Göteborg Hult;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800701;;nej;;Västra Göteborg Långedrag Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800702;;nej;;Västra Göteborg Långedrag Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800703;;nej;;Västra Göteborg Tångudden;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800704;;nej;;Västra Göteborg Hagen Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800705;;nej;;Västra Göteborg Nya Varvet;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805043;14800706;;ja;Västra Göteborg, Kungsten;Västra Göteborg Kungsten;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805041;14800707;;ja;Västra Göteborg, Ekebäck;Västra Göteborg Ekebäck;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800708;;nej;;Västra Göteborg Hagen Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805042;14800709;;ja;Västra Göteborg, Grimmered;Västra Göteborg Grimmered;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805015;14800710;;ja;Västra Göteborg, Påvelund;Västra Göteborg Påvelund;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805011;14800711;;ja;Västra Göteborg, Björnekulla;Västra Göteborg Björnekulla;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800712;;nej;;Västra Göteborg Osberget;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800713;;nej;;Västra Göteborg Källängen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800714;;nej;;Västra Göteborg Fiskebäck;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800715;;nej;;Västra Göteborg Bratthammar;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800716;;nej;;Västra Göteborg Tynnered Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805072;14800717;;ja;Västra Göteborg, Tynnered, Norra;Västra Göteborg Tynnered Norra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805071;14800718;;ja;Västra Göteborg, Guldringen m fl;Västra Göteborg Guldringen m fl;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805082;14800719;;ja;Västra Göteborg, Tynnered, Östra;Västra Göteborg Tynnered Östra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800720;;nej;;Västra Göteborg Skattegården;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800721;;nej;;Västra Göteborg Rubingatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800722;;nej;;Västra Göteborg Ängås;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800723;;nej;;Västra Göteborg Topasgatan;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800724;;nej;;Västra Göteborg Korsåsen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800725;;nej;;Västra Göteborg Opaltorget Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800726;;nej;;Västra Göteborg Opaltorget Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800727;;nej;;Västra Göteborg Grevegården;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800728;;nej;;Västra Göteborg Önnered Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800729;;nej;;Västra Göteborg Önnered Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800730;;nej;;Västra Göteborg Önnered Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805214;14800731;;ja;Västra Göteborg, Åkered;Västra Göteborg Åkered;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800732;;nej;;Västra Göteborg Välen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800733;;nej;;Västra Göteborg Näset Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805212;14800734;;ja;Västra Göteborg, Näset, Södra;Västra Göteborg Näset Södra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800735;;nej;;Västra Göteborg Donsö-Vrångö;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805053;14800736;;ja;Västra Göteborg, Styrsö-Köpstadsö;Västra Göteborg Styrsö-Köpstadsö;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14805051;14800737;;ja;Västra Göteborg, Brännö-Asperö;Västra Göteborg Brännö-Asperö;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800801;;nej;;Västra Hisingen Länsmansgården Ö;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800802;;nej;;Västra Hisingen Svartedalen Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800803;;nej;;Västra Hisingen Väderbodarna m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14807094;14800804;;ja;Västra Hisingen, Önskevädersg. m fl;Västra Hisingen Önskevädersg. m fl;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800805;;nej;;Västra Hisingen Svartedalen Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800806;;nej;;Västra Hisingen Kärrmossen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14807091;14800807;;ja;Västra Hisingen, Jättesten;Västra Hisingen Jättesten;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14807082;14800808;;ja;Västra Hisingen, Treröset;Västra Hisingen Treröset;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800809;;nej;;Västra Hisingen Vårväderstorget;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800810;;nej;;Västra Hisingen Blåsvädersgat. m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800811;;nej;;Västra Hisingen Biskopsgården Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800812;;nej;;Västra Hisingen Väderlekstorget;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800813;;nej;;Västra Hisingen Biskopsgården Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800814;;nej;;Västra Hisingen Svarte Mosse;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800815;;nej;;Västra Hisingen Friskväderstorget;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800816;;nej;;Västra Hisingen Länsmansgården S;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800817;;nej;;Västra Hisingen Länsmansgården V;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800818;;nej;;Västra Hisingen Länsmansgården C;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800819;;nej;;Västra Hisingen Länsmansgården N;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14807051;14800820;;ja;Västra Hisingen, Amhult-Arendal;Västra Hisingen Amhult-Arendal;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800821;;nej;;Västra Hisingen Andalen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800822;;nej;;Västra Hisingen Hjuvik;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14807044;14800823;;ja;Västra Hisingen, Hällsvik;Västra Hisingen Hällsvik;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800824;;nej;;Västra Hisingen Trånget;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14807056;14800825;;ja;Västra Hisingen, Tumlehed;Västra Hisingen Tumlehed;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800826;;nej;;Västra Hisingen Torslanda Röd;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800827;;nej;;Västra Hisingen Gossbydal;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800828;;nej;;Västra Hisingen Nolered;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800829;;nej;;Västra Hisingen Torslanda Torg;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800830;;nej;;Västra Hisingen Torslanda;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800831;;nej;;Västra Hisingen Domarringen m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800832;;nej;;Västra Hisingen Änghagen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800833;;nej;;Västra Hisingen Älvegården;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800834;;nej;;Västra Hisingen Lilleby;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800835;;nej;;Västra Hisingen Kvisljungeby;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800836;;nej;;Västra Hisingen Björlanda;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14807064;14800837;;ja;Västra Hisingen, Nolvik;Västra Hisingen Nolvik;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800901;;nej;;Centrala Hisingen Kärrdalen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800902;;nej;;Centrala Hisingen Tolered Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800903;;nej;;Centrala Hisingen Slätta Damm;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800904;;nej;;Centrala Hisingen Bjurslätt Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800905;;nej;;Centrala Hisingen Hildedal;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800906;;nej;;Centrala Hisingen Tolered Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800907;;nej;;Centrala Hisingen Tolered Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800908;;nej;;Centrala Hisingen Flunsås;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800909;;nej;;Centrala Hisingen Wieselgrenspl.;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800910;;nej;;Centrala Hisingen Bjurslätt Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800911;;nej;;Centrala Hisingen Fyrklövern;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800912;;nej;;Centrala Hisingen Kvillebäcken N;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800913;;nej;;Centrala Hisingen Kvillebäcken S;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
