ar;val;kod;namn;ogiltiga_ej_anmalda;blanka;ogiltiga_ovriga;kalla_fil
2018;rf;14802091;Örgryte-Härlanda, Härlanda;3;11;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802101;Örgryte-Härlanda, Kålltorp, Norra;0;16;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802102;Örgryte-Härlanda, Kålltorp, Södra;2;6;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802103;Örgryte-Härlanda, Kålltorp, Västra;1;13;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802104;Örgryte-Härlanda, Kålltorp, Östra;1;21;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802105;Örgryte-Härlanda, Munkebäck, Norra;3;15;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802106;Örgryte-Härlanda, Munkebäck, Södra;2;8;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802111;Örgryte-Härlanda, Fräntorp;2;16;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802112;Örgryte-Härlanda, Torpa;4;9;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802121;Örgryte-Härlanda, Björkekärr, Norra;2;6;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802122;Örgryte-Härlanda, Björkekärr, Södra;2;13;0;2018_L_per_valdistrikt.xlsx
2018;rf;14802123;Örgryte-Härlanda, Björkekärr, Västra;0;9;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802124;Örgryte-Härlanda, Björkekärr, Östra;0;8;1;2018_L_per_valdistrikt.xlsx
2018;rf;14802125;Örgryte-Härlanda, Robertshöjd m fl;1;12;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803011;Östra Göteborg, Bellevue;0;8;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803012;Östra Göteborg, Bellevue Park;0;13;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803013;Östra Göteborg, Gamlestaden, Norra;0;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803014;Östra Göteborg, Gamlestaden, Södra;1;13;1;2018_L_per_valdistrikt.xlsx
2018;rf;14803015;Östra Göteborg, Kviberg, Västra;2;19;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803016;Östra Göteborg, Kviberg, Östra;0;7;1;2018_L_per_valdistrikt.xlsx
2018;rf;14803017;Östra Göteborg, Nylöse;3;4;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803021;Östra Göteborg, Fjällbo;1;14;1;2018_L_per_valdistrikt.xlsx
2018;rf;14803022;Östra Göteborg, Utby;0;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803023;Östra Göteborg, Utbynäs;0;21;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803031;Östra Göteborg, Förstamajgatan m fl;1;4;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803032;Östra Göteborg, Gregorianska g. m fl;3;9;1;2018_L_per_valdistrikt.xlsx
2018;rf;14803033;Östra Göteborg, Kortedala Centrum;0;8;2;2018_L_per_valdistrikt.xlsx
2018;rf;14803034;Östra Göteborg, Kortedala, Södra;1;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803035;Östra Göteborg, Kortedala, Västra;2;14;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803036;Östra Göteborg, Kortedala, Östra;2;6;1;2018_L_per_valdistrikt.xlsx
2018;rf;14803041;Östra Göteborg, Adventsparken, V;1;13;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803042;Östra Göteborg, Adventsparken, Ö;2;7;1;2018_L_per_valdistrikt.xlsx
2018;rf;14803043;Östra Göteborg, Kortedala, Norra;0;16;2;2018_L_per_valdistrikt.xlsx
2018;rf;14803044;Östra Göteborg, Månadsgatorna m fl;2;12;2;2018_L_per_valdistrikt.xlsx
2018;rf;14803051;Östra Göteborg, Bergsjön, Norra;5;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803052;Östra Göteborg, Gärdsmosse;1;7;2;2018_L_per_valdistrikt.xlsx
2018;rf;14803053;Östra Göteborg, Gärdsås;0;7;1;2018_L_per_valdistrikt.xlsx
2018;rf;14803054;Östra Göteborg, Siriusgatan;0;6;4;2018_L_per_valdistrikt.xlsx
2018;rf;14803061;Östra Göteborg, Bergsjön, Södra;0;2;0;2018_L_per_valdistrikt.xlsx
2018;rf;14803062;Östra Göteborg, Bergsjön, Östra;0;3;1;2018_L_per_valdistrikt.xlsx
2018;rf;14803063;Östra Göteborg, Komettorget;0;7;0;2018_L_per_valdistrikt.xlsx
