ar;val;parti_kalla;parti;beteckning;farg;kalla_fil
2010;kf;UtvP;UTVP;Utvecklingspartiet;#6600cc;slutresultat_00K.xml
2010;kf;VDM;VDM;Kommunpartiet VDM;#99cc33;slutresultat_00K.xml
2010;kf;VF;VF;Vetlanda framåtanda;#00ff00;slutresultat_00K.xml
2010;kf;Vfp;VFP;Välfärdspartiet;#cc6699;slutresultat_00K.xml
2010;kf;VOXH;VOXH;Folkets röst - VOX humana;#999900;slutresultat_00K.xml
2010;kf;VS;VS;Vägval Söderhamn;#ccff66;slutresultat_00K.xml
2010;kf;VSKB;VSKB;Västrainitiativet Sollefteå Kommuns Bästa;;slutresultat_00K.xml
2010;kf;VTL;VTL;Vägen till Livskvalitet;#cc0000;slutresultat_00K.xml
2010;kf;VV;VV;Västjämtlands Väl;#ffff33;slutresultat_00K.xml
2010;kf;VÄG;VÄG;Vägvalet;#ff00ff;slutresultat_00K.xml
2010;kf;ÅHP;ÅHP;Åhuspartiet;#666600;slutresultat_00K.xml
2010;kf;ÅKL;ÅKL;Åsele kommunlista;#ffff00;slutresultat_00K.xml
2010;kf;ÅSP;ÅSP;Åselepartiet;#ffff00;slutresultat_00K.xml
2010;kf;ÄP;ÄP;Älvdalspartiet;#9900ff;slutresultat_00K.xml
2010;kf;Ö;Ö;Öpartiet;#ffff33;slutresultat_00K.xml
2010;kf;ÖA;ÖA;Övertorneå - alternativet;#9900ff;slutresultat_00K.xml
2010;kf;ÖFA;ÖFA;Övertorneås Fria Alternativ;;slutresultat_00K.xml
2010;kf;ÖHGP;ÖHGP;Ödeshögs Partiet;#996600;slutresultat_00K.xml
2010;kf;Öland;ÖLAND;Ölandspartiet (f.d. Kommunens Bästa);#cccc33;slutresultat_00K.xml
2010;kf;Ölp;ÖLP;Ölandspartiet;#cccc33;slutresultat_00K.xml
2010;kf;ÖP;ÖP;Österåkerspartiet;#ffff33;slutresultat_00K.xml
2010;kf;ÖstP;ÖSTP;Österlenpartiet;#ccffcc;slutresultat_00K.xml
