kod_2014;namn_2014;kod_2018;namn_2018;procent_officiell;andel_av_2014_geo;andel_av_2018_geo;diff_geo_minus_officiell;status;indelning_2018
14802014;Örgryte-Härlanda, Redbergsplatsen;14802014;Örgryte-Härlanda, Redbergsplatsen;100.0;1.0000;1.0000;-0.0000;bada;O
14802021;Örgryte-Härlanda, Bagaregården;14802021;Örgryte-Härlanda, Bagaregården;100.0;1.0000;0.9157;-0.0000;bada;M
14802022;Örgryte-Härlanda, Ånäs;14802022;Örgryte-Härlanda, Ånäs;86.0;0.9059;0.4871;0.0459;bada;M
14802022;Örgryte-Härlanda, Ånäs;14802021;Örgryte-Härlanda, Bagaregården;14.0;0.0941;0.0843;-0.0459;bada;M
14802031;Örgryte-Härlanda, Redbergslid;14802031;Örgryte-Härlanda, Strömmensberg, V;80.6;0.5512;1.0000;-0.2548;bada;M
14802031;Örgryte-Härlanda, Redbergslid;14802022;Örgryte-Härlanda, Ånäs;19.4;0.4488;0.5129;0.2548;bada;M
14802032;Örgryte-Härlanda, Strömmensberg;14802032;Örgryte-Härlanda, Strömmensberg, Ö;100.0;1.0000;1.0000;-0.0000;bada;O
14802041;Örgryte-Härlanda, Kallebäck, Västra;14802042;Örgryte-Härlanda, Kallebäck, Västra;69.5;0.5090;1.0000;-0.1860;bada;M
14802041;Örgryte-Härlanda, Kallebäck, Västra;14802043;Örgryte-Härlanda, Kallebäck, Östra;4.9;0.4518;0.1037;0.4028;bada;M
14802041;Örgryte-Härlanda, Kallebäck, Västra;14802041;Örgryte-Härlanda, Kallebäck, Norra;25.6;0.0392;0.1775;-0.2168;bada;M
14802042;Örgryte-Härlanda, Kallebäck, Östra;14802043;Örgryte-Härlanda, Kallebäck, Östra;60.6;0.9534;0.8963;0.3474;bada;M
14802042;Örgryte-Härlanda, Kallebäck, Östra;14802041;Örgryte-Härlanda, Kallebäck, Norra;39.4;0.0444;0.8225;-0.3496;bada;M
14802051;Örgryte-Härlanda, Jakobsdal;14802051;Örgryte-Härlanda, Jakobsdal;100.0;1.0000;1.0000;-0.0000;bada;O
14802052;Örgryte-Härlanda, Skår, Norra;14802052;Örgryte-Härlanda, Skår, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14802053;Örgryte-Härlanda, Skår, Södra;14802053;Örgryte-Härlanda, Skår, Södra;100.0;1.0000;1.0000;-0.0000;bada;O
14802061;Örgryte-Härlanda, Bö;14802061;Örgryte-Härlanda, Bö;100.0;1.0000;0.9946;-0.0000;bada;O
14802062;Örgryte-Härlanda, Örgryte;14802062;Örgryte-Härlanda, Örgryte;100.0;1.0000;1.0000;-0.0000;bada;O
14802071;Örgryte-Härlanda, Torp;14802072;Örgryte-Härlanda, Lilla Torp;84.1;0.6542;0.9867;-0.1868;bada;M
14802071;Örgryte-Härlanda, Torp;14802071;Örgryte-Härlanda, Stora Torp;15.9;0.3450;1.0000;0.1860;bada;M
