ar_fg;val;kod_2018;namn_2018;giltiga_2018;giltiga_fgval;rostande_2018;rostande_fgval;rostberattigade_2018;rostberattigade_fgval;valdeltagande_2018;valdeltagande_fgval;indelning
2014;rf;14804163;Lundby, Färjenäs;652;;657;;733;;89.63;;Modifierad
2014;rf;14804164;Lundby, Pölsebo-Bratterås;1326;;1346;;1532;;87.86;;Modifierad
2014;rf;14804165;Lundby, Sannegården, Västra;1305;1284;1314;1298;1494;1450;87.95;89.52;
2014;rf;14804166;Lundby, Södhallsberget;1109;1095;1116;1106;1296;1281;86.11;86.34;
2014;rf;14804171;Lundby, Lindholmen;951;;967;;1114;;86.80;;Modifierad
2014;rf;14804172;Lundby, Lundbyvassen;812;;825;;988;;83.50;;Modifierad
2014;rf;14804173;Lundby, Sannegården, Östra;970;;974;;1090;;89.36;;Modifierad
2014;rf;14805011;Västra Göteborg, Björnekulla;961;;973;;1062;;91.62;;Modifierad
2014;rf;14805012;Västra Göteborg, Fiskebäck,;1024;;1032;;1167;;88.43;;Modifierad
2014;rf;14805013;Västra Göteborg, Källängen;1178;;1187;;1265;;93.83;;Modifierad
2014;rf;14805014;Västra Göteborg, Osberget;981;;987;;1077;;91.64;;Modifierad
2014;rf;14805015;Västra Göteborg, Påvelund;1012;;1019;;1135;;89.78;;Modifierad
2014;rf;14805021;Västra Göteborg, Långedrag;1444;1386;1448;1390;1568;1529;92.35;90.91;
2014;rf;14805031;Västra Göteborg, Hagen;1366;1335;1378;1340;1496;1490;92.11;89.93;
2014;rf;14805032;Västra Göteborg, Nya Varvet;1353;;1370;;1528;;89.66;;Modifierad
2014;rf;14805033;Västra Göteborg, Tångudden;1193;1186;1201;1197;1304;1317;92.10;90.89;
2014;rf;14805041;Västra Göteborg, Ekebäck;1100;;1111;;1218;;91.22;;Modifierad
2014;rf;14805042;Västra Göteborg, Grimmered;1005;;1013;;1109;;91.34;;Modifierad
2014;rf;14805043;Västra Göteborg, Kungsten;964;;973;;1099;;88.54;;Modifierad
2014;rf;14805051;Västra Göteborg, Brännö-Asperö;621;875;623;880;1062;1015;58.66;86.70;
2014;rf;14805052;Västra Göteborg, Donsö-Vrångö;896;1154;906;1168;1427;1354;63.49;86.26;
2014;rf;14805053;Västra Göteborg, Styrsö-Köpstadsö;548;941;556;947;1159;1140;47.97;83.07;
2014;rf;14805061;Västra Göteborg, Bratthammar;1231;;1245;;1364;;91.28;;Modifierad
2014;rf;14805071;Västra Göteborg, Guldringen m fl;966;;990;;1196;;82.78;;Modifierad
2014;rf;14805072;Västra Göteborg, Tynnered, Norra;904;;926;;1126;;82.24;;Modifierad
2014;rf;14805081;Västra Göteborg, Tynnered Södra;605;;619;;750;;82.53;;Modifierad
2014;rf;14805082;Västra Göteborg, Tynnered, Östra;1066;;1086;;1463;;74.23;;Modifierad
