kod_2018;namn_2018;indelning_officiell;klass_geo;antal_2014_stora;storsta_kod_2014;andel_av_2018;andel_av_2014;samma_kod_och_yta
14805043;Västra Göteborg, Kungsten;M;delning;1;14805041;1.0000;0.7845;nej
14805051;Västra Göteborg, Brännö-Asperö;O;identisk;1;14805051;1.0000;1.0000;ja
14805052;Västra Göteborg, Donsö-Vrångö;O;identisk;1;14805052;1.0000;1.0000;ja
14805053;Västra Göteborg, Styrsö-Köpstadsö;O;identisk;1;14805053;1.0000;1.0000;ja
14805061;Västra Göteborg, Bratthammar;M;delning;1;14805061;1.0000;0.7709;nej
14805071;Västra Göteborg, Guldringen m fl;M;delning;1;14805071;1.0000;0.4536;nej
14805072;Västra Göteborg, Tynnered, Norra;M;omritning;2;14805071;0.5294;0.5464;nej
14805081;Västra Göteborg, Tynnered Södra;M;omritning;2;14805081;0.6551;0.4769;nej
14805082;Västra Göteborg, Tynnered, Östra;M;delning;1;14805081;1.0000;0.5231;nej
14805091;Askim-Frölunda-Högsbo, Kaverös, N;O;identisk;1;14805092;1.0000;1.0000;nej
14805092;Askim-Frölunda-Högsbo, Kaverös, S;O;identisk;1;14805093;1.0000;1.0000;nej
14805093;Askim-Frölunda-Högsbo, Kavås;O;identisk;1;14805091;1.0000;1.0000;nej
14805101;Askim-Frölunda-Högsbo, Flatås, S;M;omritning;2;14805101;0.8584;0.3136;nej
14805102;Askim-Frölunda-Högsbo, Flatås, V;M;delning;1;14805101;1.0000;0.6864;nej
14805103;Askim-Frölunda-Högsbo, Flatås, Ö;M;identisk;1;14805161;1.0000;0.9924;nej
14805111;Askim-Frölunda-Högsbo, Högsbohöjd, N;M;omritning;3;14805111;0.7612;0.7305;nej
14805112;Askim-Frölunda-Högsbo, Högsbohöjd, S;M;delning;1;14805112;1.0000;0.9246;nej
14805121;Askim-Frölunda-Högsbo, Högsbo;M;omritning;2;14805121;0.7265;0.4610;nej
14805122;Askim-Frölunda-Högsbo, Högsbotorp, S;M;omritning;2;14805121;0.7213;0.5390;nej
14805123;Askim-Frölunda-Högsbo, Högsbotorp, V;M;delning;1;14805122;1.0000;0.7940;nej
14805124;Askim-Frölunda-Högsbo, Högsbotorp, Ö;M;omritning;2;14805123;0.6238;0.6161;nej
14805125;Askim-Frölunda-Högsbo, Marklandsgat.;M;omritning;2;14805124;0.9083;0.7753;nej
14805131;Askim-Frölunda-Högsbo, Spinetten;O;identisk;1;14805131;1.0000;1.0000;ja
14805132;Askim-Frölunda-Högsbo, Tofta;M;identisk;1;14805132;1.0000;0.9930;ja
14805141;Askim-Frölunda-Högsbo, Altplatsen;M;delning;1;14805141;1.0000;0.0817;nej
14805142;Askim-Frölunda-Högsbo, Ruddalen;M;delning;1;14805141;1.0000;0.8641;nej
14805151;Askim-Frölunda-Högsbo, Järnbrott, S;M;omritning;2;14805151;0.5262;0.4349;nej
14805152;Askim-Frölunda-Högsbo, Järnbrott, V;M;omritning;2;14805151;0.9740;0.3592;nej
14805153;Askim-Frölunda-Högsbo, Järnbrott, Ö;M;omritning;2;14805152;0.6686;0.5147;nej
14805171;Askim-Frölunda-Högsbo, Frölunda;O;omritning;2;14805171;0.8817;1.0000;nej
14805172;Askim-Frölunda-Högsbo, Frölunda Torg;O;identisk;1;14805172;1.0000;1.0000;ja
14805173;Askim-Frölunda-Högsbo, Gånglåten;O;identisk;1;14805173;1.0000;1.0000;ja
14805174;Askim-Frölunda-Högsbo, Mandolingatan;O;identisk;1;14805174;1.0000;1.0000;ja
14805181;Västra Göteborg, Korsåsen;O;identisk;1;14805181;1.0000;1.0000;ja
14805182;Västra Göteborg, Ängås;O;identisk;1;14805182;1.0000;1.0000;ja
14805191;Västra Göteborg, Önnered, Västra;O;identisk;1;14805191;1.0000;1.0000;ja
14805192;Västra Göteborg, Önnered, Östra;O;identisk;1;14805192;1.0000;1.0000;ja
14805201;Västra Göteborg, Grevegården;O;omritning;2;14805201;0.7321;1.0000;nej
14805202;Västra Göteborg, Skattegården;O;delning;1;14805202;1.0000;0.8162;nej
14805211;Västra Göteborg, Näset, Norra;M;omritning;2;14805211;0.9214;0.8087;nej
14805212;Västra Göteborg, Näset, Södra;M;delning;1;14805212;1.0000;0.9102;nej
14805213;Västra Göteborg, Välen;M;omritning;3;14805212;0.5239;0.0676;nej
14805214;Västra Göteborg, Åkered;M;omritning;2;14805213;0.9004;0.9022;nej
14805221;Västra Göteborg, Opaltorget, Norra;O;identisk;1;14805221;1.0000;1.0000;ja
