ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;78
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;10
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;5
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Män;Svenska medborgare;30-49;169
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Kvinnor;Svenska medborgare;30-49;146
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Män;Ej svenska medborgare;30-49;13
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Kvinnor;Ej svenska medborgare;30-49;20
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Män;Svenska medborgare;50-64;93
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Kvinnor;Svenska medborgare;50-64;106
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Män;Ej svenska medborgare;50-64;9
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Kvinnor;Ej svenska medborgare;50-64;4
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Män;Svenska medborgare;65-;120
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Kvinnor;Svenska medborgare;65-;164
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Män;Ej svenska medborgare;65-;6
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Kvinnor;Ej svenska medborgare;65-;9
2018;rf;14801032;Majorna-Linné, Godhem;Män;Svenska medborgare;18-29 förstagångsväljare;13
2018;rf;14801032;Majorna-Linné, Godhem;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;20
2018;rf;14801032;Majorna-Linné, Godhem;Män;Ej svenska medborgare;18-29 förstagångsväljare;2
2018;rf;14801032;Majorna-Linné, Godhem;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;3
2018;rf;14801032;Majorna-Linné, Godhem;Män;Svenska medborgare;18-29 ej förstagångsväljare;88
2018;rf;14801032;Majorna-Linné, Godhem;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;97
2018;rf;14801032;Majorna-Linné, Godhem;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;4
2018;rf;14801032;Majorna-Linné, Godhem;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;5
2018;rf;14801032;Majorna-Linné, Godhem;Män;Svenska medborgare;30-49;230
2018;rf;14801032;Majorna-Linné, Godhem;Kvinnor;Svenska medborgare;30-49;283
2018;rf;14801032;Majorna-Linné, Godhem;Män;Ej svenska medborgare;30-49;18
2018;rf;14801032;Majorna-Linné, Godhem;Kvinnor;Ej svenska medborgare;30-49;16
2018;rf;14801032;Majorna-Linné, Godhem;Män;Svenska medborgare;50-64;128
2018;rf;14801032;Majorna-Linné, Godhem;Kvinnor;Svenska medborgare;50-64;130
2018;rf;14801032;Majorna-Linné, Godhem;Män;Ej svenska medborgare;50-64;7
2018;rf;14801032;Majorna-Linné, Godhem;Kvinnor;Ej svenska medborgare;50-64;3
2018;rf;14801032;Majorna-Linné, Godhem;Män;Svenska medborgare;65-;92
2018;rf;14801032;Majorna-Linné, Godhem;Kvinnor;Svenska medborgare;65-;83
2018;rf;14801032;Majorna-Linné, Godhem;Män;Ej svenska medborgare;65-;5
2018;rf;14801032;Majorna-Linné, Godhem;Kvinnor;Ej svenska medborgare;65-;3
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Män;Svenska medborgare;18-29 förstagångsväljare;4
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;9
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Män;Ej svenska medborgare;18-29 förstagångsväljare;1
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Män;Svenska medborgare;18-29 ej förstagångsväljare;82
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;100
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;5
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;4
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Män;Svenska medborgare;30-49;211
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Kvinnor;Svenska medborgare;30-49;171
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Män;Ej svenska medborgare;30-49;17
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Kvinnor;Ej svenska medborgare;30-49;17
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Män;Svenska medborgare;50-64;75
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Kvinnor;Svenska medborgare;50-64;78
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Män;Ej svenska medborgare;50-64;3
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Kvinnor;Ej svenska medborgare;50-64;5
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Män;Svenska medborgare;65-;68
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Kvinnor;Svenska medborgare;65-;99
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Män;Ej svenska medborgare;65-;3
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Kvinnor;Ej svenska medborgare;65-;0
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Män;Svenska medborgare;18-29 förstagångsväljare;4
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;12
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Män;Svenska medborgare;18-29 ej förstagångsväljare;87
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;77
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;2
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;7
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Män;Svenska medborgare;30-49;192
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Kvinnor;Svenska medborgare;30-49;159
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Män;Ej svenska medborgare;30-49;18
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Kvinnor;Ej svenska medborgare;30-49;9
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Män;Svenska medborgare;50-64;97
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Kvinnor;Svenska medborgare;50-64;105
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Män;Ej svenska medborgare;50-64;2
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Kvinnor;Ej svenska medborgare;50-64;8
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Män;Svenska medborgare;65-;150
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Kvinnor;Svenska medborgare;65-;202
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Män;Ej svenska medborgare;65-;4
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Kvinnor;Ej svenska medborgare;65-;4
2018;rf;14801035;Majorna-Linné, Hängmattan;Män;Svenska medborgare;18-29 förstagångsväljare;20
2018;rf;14801035;Majorna-Linné, Hängmattan;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;22
2018;rf;14801035;Majorna-Linné, Hängmattan;Män;Ej svenska medborgare;18-29 förstagångsväljare;2
2018;rf;14801035;Majorna-Linné, Hängmattan;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;2
2018;rf;14801035;Majorna-Linné, Hängmattan;Män;Svenska medborgare;18-29 ej förstagångsväljare;61
2018;rf;14801035;Majorna-Linné, Hängmattan;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;57
