ar;val;kod;namn;summa_kategorier;rostberattigade_resultatfil;diff;kalla_fil
2010;rd;14801816;Lundby, Lundbyvassen;665;665;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801821;Lundby, Flunsås;1419;1419;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801822;Lundby, Bjurslätt;1477;1477;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801823;Lundby, Norra Kvillebäcken;1360;1360;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801824;Lundby, Wieselgrensplatsen;1176;1176;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801825;Lundby, Södra Kvillebäcken;1424;1424;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801831;Lundby, Hilldedal;1539;1539;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801832;Lundby, Slätta Damm;1404;1404;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801841;Lundby, Södra Tolered;1093;1093;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801842;Lundby, Norra Tolered;1060;1060;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801843;Lundby, Kärrdalen;1326;1326;0;slutligt_valresultat_valdistrikt_R.xls
