ar;val;valkrets;parti;fasta;utjamning;totalt;kalla
2010;kf;Göteborg, Hisingen;SD;1;0;1;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 1, kolumn SD
2010;kf;Göteborg, Väster;M;7;0;7;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 4, kolumn M
2010;kf;Göteborg, Väster;S;5;0;5;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 4, kolumn S
2010;kf;Göteborg, Väster;L;2;0;2;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 4, kolumn FP
2010;kf;Göteborg, Väster;MP;2;0;2;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 4, kolumn MP
2010;kf;Göteborg, Väster;KD;1;0;1;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 4, kolumn KD
2010;kf;Göteborg, Väster;SD;1;0;1;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 4, kolumn SD
2010;kf;Göteborg, Väster;V;1;0;1;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 4, kolumn V
2010;kf;Göteborg, Väster;VÄGV;1;0;1;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 4, kolumn VägV
2010;kf;Göteborg, Öster;S;8;0;8;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 2, kolumn S
2010;kf;Göteborg, Öster;M;4;0;4;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 2, kolumn M
2010;kf;Göteborg, Öster;MP;2;0;2;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 2, kolumn MP
2010;kf;Göteborg, Öster;V;2;0;2;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 2, kolumn V
2010;kf;Göteborg, Öster;KD;1;0;1;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 2, kolumn KD
2010;kf;Göteborg, Öster;L;1;0;1;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 2, kolumn FP
