ar;val;niva;parti_kalla;parti;roster;andel;giltiga;rostande;rostberattigade
2018;kf;riket;ÖVR;ÖVR;9015;0.14;6532135;6613451;7861590
2018;kf;vgregion;M;M;205658;18.79;1094627;1109261;1317413
2018;kf;vgregion;C;C;89248;8.15;1094627;1109261;1317413
2018;kf;vgregion;L;L;75782;6.92;1094627;1109261;1317413
2018;kf;vgregion;KD;KD;55127;5.04;1094627;1109261;1317413
2018;kf;vgregion;S;S;276657;25.27;1094627;1109261;1317413
2018;kf;vgregion;V;V;90416;8.26;1094627;1109261;1317413
2018;kf;vgregion;MP;MP;53892;4.92;1094627;1109261;1317413
2018;kf;vgregion;SD;SD;133577;12.20;1094627;1109261;1317413
2018;kf;vgregion;FI;FI;11200;1.02;1094627;1109261;1317413
2018;kf;vgregion;1397;1397;42;0.00;1094627;1109261;1317413
2018;kf;vgregion;470;470;25;0.00;1094627;1109261;1317413
2018;kf;vgregion;ADK;ADK;407;0.04;1094627;1109261;1317413
2018;kf;vgregion;DD;DD;22;0.00;1094627;1109261;1317413
2018;kf;vgregion;DEM;D;60013;5.48;1094627;1109261;1317413
2018;kf;vgregion;DjuP;DJUP;854;0.08;1094627;1109261;1317413
2018;kf;vgregion;FiA;FIA;1218;0.11;1094627;1109261;1317413
2018;kf;vgregion;FPO;FPO;862;0.08;1094627;1109261;1317413
2018;kf;vgregion;FR;FR;952;0.09;1094627;1109261;1317413
2018;kf;vgregion;Få;FÅ;1;0.00;1094627;1109261;1317413
2018;kf;vgregion;GÖF;GÖF;1040;0.10;1094627;1109261;1317413
2018;kf;vgregion;hvkb;HVKB;984;0.09;1094627;1109261;1317413
2018;kf;vgregion;K;K;2705;0.25;1094627;1109261;1317413
2018;kf;vgregion;KiM;KIM;429;0.04;1094627;1109261;1317413
2018;kf;vgregion;KomP;KOMP;1000;0.09;1094627;1109261;1317413
2018;kf;vgregion;KrVP;KRVP;347;0.03;1094627;1109261;1317413
2018;kf;vgregion;KviP;KVIP;101;0.01;1094627;1109261;1317413
2018;kf;vgregion;KVäl;KVÄL;596;0.05;1094627;1109261;1317413
2018;kf;vgregion;LibVÅ;LIBVÅ;78;0.01;1094627;1109261;1317413
2018;kf;vgregion;LP.NU;LP.NU;2070;0.19;1094627;1109261;1317413
2018;kf;vgregion;LPo;LPO;1032;0.09;1094627;1109261;1317413
2018;kf;vgregion;MaP;MAP;754;0.07;1094627;1109261;1317413
2018;kf;vgregion;MED;MED;1571;0.14;1094627;1109261;1317413
2018;kf;vgregion;NMR;NMR;103;0.01;1094627;1109261;1317413
