kod_2010;namn_2010;kod_2006_troligast;namn_2006;typ;belagg
14800263;Lärjedalen, Norra Hjällbo;14803103;Hjällbo-Eriksbo 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 34,3,17,45,402,60,50,11 (summa 622) mot 2006 14803103, geometri 100.0/100.0 procent, namn olika
14800264;Lärjedalen, Bläsebo;14803104;Hjällbo-Eriksbo 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 46,3,15,47,402,74,46,16 (summa 649) mot 2006 14803104, geometri 100.0/100.0 procent, namn olika
14800271;Lärjedalen, Eriksbo;14803105;Hjällbo-Eriksbo 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 81,12,34,44,475,92,55,53 (summa 846) mot 2006 14803105, geometri 100.0/100.0 procent, namn olika
14800311;Kortedala, Gamlestaden;14802902;Gamlestaden-Utby 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 147,24,102,30,399,143,177,39 (summa 1061) mot 2006 14802902, geometri 100.0/100.0 procent, namn olika
14800312;Kortedala, Nylöse;14802901;Gamlestaden-Utby 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 106,17,58,20,399,128,91,32 (summa 851) mot 2006 14802901, geometri 100.0/100.0 procent, namn olika
14800313;Kortedala, Kviberg;14802903;Gamlestaden-Utby 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 177,31,92,66,488,119,107,46 (summa 1126) mot 2006 14802903, geometri 100.0/100.0 procent, namn olika
14800314;Kortedala, Bellevue;14802904;Gamlestaden-Utby 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 109,23,75,30,295,79,94,30 (summa 735) mot 2006 14802904, geometri 100.0/100.0 procent, namn olika
14800321;Kortedala, Utbynäs;14802905;Gamlestaden-Utby 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 227,25,115,62,338,29,50,35 (summa 881) mot 2006 14802905, geometri 100.0/100.0 procent, namn olika
14800322;Kortedala, Utby;14802906;Gamlestaden-Utby 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 268,40,142,129,413,59,96,25 (summa 1172) mot 2006 14802906, geometri 100.0/100.0 procent, namn olika
14800323;Kortedala, Fjällbo;14802907;Gamlestaden-Utby 7;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 220,36,145,67,496,72,78,18 (summa 1132) mot 2006 14802907, geometri 100.0/100.0 procent, namn olika
14800331;Kortedala, Gregorianska gatan m fl;14803207;Kortedala 7;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 69,9,31,22,422,84,73,34 (summa 744) mot 2006 14803207, geometri 100.0/100.0 procent, namn olika
14800332;Kortedala, Västra Kortedala;14803204;Kortedala 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 99,16,52,40,574,73,68,51 (summa 973) mot 2006 14803204, geometri 100.0/100.0 procent, namn olika
14800333;Kortedala, Östra Kortedala;14803205;Kortedala 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 104,17,69,40,482,109,97,52 (summa 970) mot 2006 14803205, geometri 100.0/100.0 procent, namn olika
14800334;Kortedala, Kortedala Centrum;14803206;Kortedala 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 59,10,34,19,476,84,43,40 (summa 765) mot 2006 14803206, geometri 100.0/100.0 procent, namn olika
14800335;Kortedala, Södra Kortedala;14803208;Kortedala 8;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 104,19,80,64,454,75,67,37 (summa 900) mot 2006 14803208, geometri 100.0/100.0 procent, namn olika
14800341;Kortedala, Adventsparken;14803203;Kortedala 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 127,11,59,42,508,94,55,48 (summa 944) mot 2006 14803203, geometri 100.0/100.0 procent, namn olika
14800342;Kortedala, Norra Kortedala;14803201;Kortedala 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 74,18,30,38,558,144,82,47 (summa 991) mot 2006 14803201, geometri 100.0/100.0 procent, namn olika
14800343;Kortedala, Månadsgatorna m fl;14803202;Kortedala 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 117,17,74,24,541,118,83,46 (summa 1020) mot 2006 14803202, geometri 100.0/100.0 procent, namn olika
14800411;Bergsjön, Gärdsås;14802604;Bergsjön 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 93,10,41,56,324,48,31,23 (summa 626) mot 2006 14802604, geometri 100.0/100.0 procent, namn olika
14800412;Bergsjön, Siriusgatan;14802602;Bergsjön 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 65,15,45,44,535,101,66,28 (summa 899) mot 2006 14802602, geometri 100.0/100.0 procent, namn olika
14800413;Bergsjön, Gärdsmosse;14802601;Bergsjön 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 48,6,20,13,337,78,46,24 (summa 572) mot 2006 14802601, geometri 100.0/100.0 procent, namn olika
14800414;Bergsjön, Norra Bergsjön;14802603;Bergsjön 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 51,13,36,30,238,94,65,9 (summa 536) mot 2006 14802603, geometri 100.0/100.0 procent, namn olika
