ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2010;kf;14800132;Gunnared, Norra Gårdsten;Män;Svenska medborgare;30-49;263
2010;kf;14800132;Gunnared, Norra Gårdsten;Kvinnor;Svenska medborgare;30-49;225
2010;kf;14800132;Gunnared, Norra Gårdsten;Män;Ej svenska medborgare;30-49;180
2010;kf;14800132;Gunnared, Norra Gårdsten;Kvinnor;Ej svenska medborgare;30-49;101
2010;kf;14800132;Gunnared, Norra Gårdsten;Män;Svenska medborgare;50-64;156
2010;kf;14800132;Gunnared, Norra Gårdsten;Kvinnor;Svenska medborgare;50-64;143
2010;kf;14800132;Gunnared, Norra Gårdsten;Män;Ej svenska medborgare;50-64;68
2010;kf;14800132;Gunnared, Norra Gårdsten;Kvinnor;Ej svenska medborgare;50-64;36
2010;kf;14800132;Gunnared, Norra Gårdsten;Män;Svenska medborgare;65-;93
2010;kf;14800132;Gunnared, Norra Gårdsten;Kvinnor;Svenska medborgare;65-;71
2010;kf;14800132;Gunnared, Norra Gårdsten;Män;Ej svenska medborgare;65-;13
2010;kf;14800132;Gunnared, Norra Gårdsten;Kvinnor;Ej svenska medborgare;65-;17
2010;kf;14800133;Gunnared, Östra Gårdsten;Män;Svenska medborgare;18-29 förstagångsväljare;60
2010;kf;14800133;Gunnared, Östra Gårdsten;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;60
2010;kf;14800133;Gunnared, Östra Gårdsten;Män;Ej svenska medborgare;18-29 förstagångsväljare;14
2010;kf;14800133;Gunnared, Östra Gårdsten;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;6
2010;kf;14800133;Gunnared, Östra Gårdsten;Män;Svenska medborgare;18-29 ej förstagångsväljare;99
2010;kf;14800133;Gunnared, Östra Gårdsten;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;83
2010;kf;14800133;Gunnared, Östra Gårdsten;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;32
2010;kf;14800133;Gunnared, Östra Gårdsten;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;35
2010;kf;14800133;Gunnared, Östra Gårdsten;Män;Svenska medborgare;30-49;169
2010;kf;14800133;Gunnared, Östra Gårdsten;Kvinnor;Svenska medborgare;30-49;200
2010;kf;14800133;Gunnared, Östra Gårdsten;Män;Ej svenska medborgare;30-49;84
2010;kf;14800133;Gunnared, Östra Gårdsten;Kvinnor;Ej svenska medborgare;30-49;63
2010;kf;14800133;Gunnared, Östra Gårdsten;Män;Svenska medborgare;50-64;160
2010;kf;14800133;Gunnared, Östra Gårdsten;Kvinnor;Svenska medborgare;50-64;143
2010;kf;14800133;Gunnared, Östra Gårdsten;Män;Ej svenska medborgare;50-64;45
2010;kf;14800133;Gunnared, Östra Gårdsten;Kvinnor;Ej svenska medborgare;50-64;25
2010;kf;14800133;Gunnared, Östra Gårdsten;Män;Svenska medborgare;65-;88
2010;kf;14800133;Gunnared, Östra Gårdsten;Kvinnor;Svenska medborgare;65-;109
2010;kf;14800133;Gunnared, Östra Gårdsten;Män;Ej svenska medborgare;65-;12
2010;kf;14800133;Gunnared, Östra Gårdsten;Kvinnor;Ej svenska medborgare;65-;16
2010;kf;14800134;Gunnared, Södra Gårdsten;Män;Svenska medborgare;18-29 förstagångsväljare;32
2010;kf;14800134;Gunnared, Södra Gårdsten;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;24
2010;kf;14800134;Gunnared, Södra Gårdsten;Män;Ej svenska medborgare;18-29 förstagångsväljare;4
2010;kf;14800134;Gunnared, Södra Gårdsten;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;5
2010;kf;14800134;Gunnared, Södra Gårdsten;Män;Svenska medborgare;18-29 ej förstagångsväljare;68
2010;kf;14800134;Gunnared, Södra Gårdsten;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;64
