ar;val;niva;parti;roster;andel;giltiga;rostande;rostberattigade;valdeltagande;antal_distrikt;metod
2006;kf;goteborg;ND;172;0.06;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;RS;165;0.06;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;S;104896;36.04;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;SD;8660;2.98;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;SOC.P;839;0.29;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;SPI;635;0.22;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;SUMMA_ÖVRIGA;2267;0.78;291051;295691;387939;76.22;;"ur aggregat_2006_kf.csv, niva goteborg; residual giltiga minus V+S+MP+SD+M+C+L+KD+D+FI+K"
2006;kf;goteborg;V;21038;7.23;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;ÖVR;398;0.14;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;majorna;0450;2;0.01;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;C;556;2.96;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;FI;599;3.18;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;K;547;2.91;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;KD;607;3.23;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;L;1676;8.91;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;M;2886;15.35;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;MP;2959;15.73;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;ND;15;0.08;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;RS;5;0.03;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;S;5631;29.94;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;SD;418;2.22;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;SOC.P;110;0.58;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;SPI;34;0.18;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;SUMMA_ÖVRIGA;197;1.05;18807;19156;24603;77.86;17;"areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv; residual giltiga minus V+S+MP+SD+M+C+L+KD+D+FI+K"
2006;kf;majorna;V;2731;14.52;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;majorna;ÖVR;31;0.16;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;riket;(NSF);150;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0247;218;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0333;55;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0339;75;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0450;58;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0517;143;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0522;14;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0550;13;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0555;5831;0.11;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0559;496;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0560;70;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0598;27;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0600;5;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0623;15;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0624;1;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0627;8;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0665;75;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0681;14;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;0682;99;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;A2000;1198;0.02;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;ADK;1789;0.03;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;AFR;685;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;AIL;634;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;ALP;493;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;ALT;157;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;ALTER;1422;0.03;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;ALV;2158;0.04;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;AP;967;0.02;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;ASK;439;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;BAP;787;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;BE;1256;0.02;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;BJP;1638;0.03;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;BLV;78;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;BOA;541;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;BOP;795;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;BP;1643;0.03;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;BUS;479;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;BV;1290;0.02;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;BÅP;1611;0.03;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;C;501377;9.08;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;CDK;124;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;DACKE;101;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;DEMV;1227;0.02;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;DEX;471;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;DKL;584;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;DP;3030;0.05;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;EAP;64;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;EPP;267;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;F O M;131;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FAP;3002;0.05;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FFK;135;0.0;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FHT;721;0.01;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
2006;kf;riket;FI;10296;0.19;5521566;5636103;7098097;79.4;;ur aggregat_2006_kf.csv, niva riket
