ar;val;kod;namn;ogiltiga_ej_anmalda;blanka;ogiltiga_ovriga;kalla_fil
2018;kf;14804151;Lundby, Brämaregården, Norra;1;14;2;2018_K_per_valdistrikt.xlsx
2018;kf;14804152;Lundby, Brämaregården, Södra;0;8;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804153;Lundby, Porslinsfabriken;1;7;2;2018_K_per_valdistrikt.xlsx
2018;kf;14804154;Lundby, Rambergsstaden, Norra;3;18;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804155;Lundby, Rambergsstaden, Södra;1;14;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804156;Lundby, Rambergsstaden, Östra;1;16;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804161;Lundby, Eriksberg, Västra;0;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804162;Lundby, Eriksberg, Östra;1;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804163;Lundby, Färjenäs;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804164;Lundby, Pölsebo-Bratterås;1;9;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804165;Lundby, Sannegården, Västra;0;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804166;Lundby, Södhallsberget;0;4;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804171;Lundby, Lindholmen;0;9;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804172;Lundby, Lundbyvassen;0;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804173;Lundby, Sannegården, Östra;0;2;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805011;Västra Göteborg, Björnekulla;1;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805012;Västra Göteborg, Fiskebäck,;0;3;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805013;Västra Göteborg, Källängen;0;4;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805014;Västra Göteborg, Osberget;0;4;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805015;Västra Göteborg, Påvelund;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805021;Västra Göteborg, Långedrag;0;4;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805031;Västra Göteborg, Hagen;0;9;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805032;Västra Göteborg, Nya Varvet;0;8;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805033;Västra Göteborg, Tångudden;0;4;2;2018_K_per_valdistrikt.xlsx
2018;kf;14805041;Västra Göteborg, Ekebäck;0;5;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805042;Västra Göteborg, Grimmered;1;2;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805043;Västra Göteborg, Kungsten;0;4;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805051;Västra Göteborg, Brännö-Asperö;0;0;2;2018_K_per_valdistrikt.xlsx
2018;kf;14805052;Västra Göteborg, Donsö-Vrångö;0;5;2;2018_K_per_valdistrikt.xlsx
2018;kf;14805053;Västra Göteborg, Styrsö-Köpstadsö;1;2;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805061;Västra Göteborg, Bratthammar;0;13;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805071;Västra Göteborg, Guldringen m fl;0;21;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805072;Västra Göteborg, Tynnered, Norra;1;19;2;2018_K_per_valdistrikt.xlsx
2018;kf;14805081;Västra Göteborg, Tynnered Södra;0;10;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805082;Västra Göteborg, Tynnered, Östra;0;18;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805091;Askim-Frölunda-Högsbo, Kaverös, N;1;7;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805092;Askim-Frölunda-Högsbo, Kaverös, S;0;9;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805093;Askim-Frölunda-Högsbo, Kavås;1;14;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805101;Askim-Frölunda-Högsbo, Flatås, S;2;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805102;Askim-Frölunda-Högsbo, Flatås, V;1;5;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805103;Askim-Frölunda-Högsbo, Flatås, Ö;2;15;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805111;Askim-Frölunda-Högsbo, Högsbohöjd, N;1;14;4;2018_K_per_valdistrikt.xlsx
2018;kf;14805112;Askim-Frölunda-Högsbo, Högsbohöjd, S;0;14;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805121;Askim-Frölunda-Högsbo, Högsbo;0;4;2;2018_K_per_valdistrikt.xlsx
2018;kf;14805122;Askim-Frölunda-Högsbo, Högsbotorp, S;0;11;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805123;Askim-Frölunda-Högsbo, Högsbotorp, V;0;8;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805124;Askim-Frölunda-Högsbo, Högsbotorp, Ö;0;12;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805125;Askim-Frölunda-Högsbo, Marklandsgat.;1;3;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805131;Askim-Frölunda-Högsbo, Spinetten;0;8;2;2018_K_per_valdistrikt.xlsx
2018;kf;14805132;Askim-Frölunda-Högsbo, Tofta;1;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14805141;Askim-Frölunda-Högsbo, Altplatsen;0;6;1;2018_K_per_valdistrikt.xlsx
2018;kf;14805142;Askim-Frölunda-Högsbo, Ruddalen;0;12;3;2018_K_per_valdistrikt.xlsx
2018;kf;14805151;Askim-Frölunda-Högsbo, Järnbrott, S;0;7;0;2018_K_per_valdistrikt.xlsx
