ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Svenska medborgare;65-;154
2014;rd;14801015;Majorna-Linné, Skytteskogen;Män;Ej svenska medborgare;65-;0
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Svenska medborgare;18-29 förstagångsväljare;26
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;39
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Svenska medborgare;18-29 ej förstagångsväljare;114
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;148
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Svenska medborgare;30-49;228
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Svenska medborgare;30-49;200
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Ej svenska medborgare;30-49;0
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Svenska medborgare;50-64;148
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Svenska medborgare;50-64;134
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Ej svenska medborgare;50-64;0
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Svenska medborgare;65-;101
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Svenska medborgare;65-;121
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Ej svenska medborgare;65-;0
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801021;Majorna-Linné, Sandarne;Män;Svenska medborgare;18-29 förstagångsväljare;21
2014;rd;14801021;Majorna-Linné, Sandarne;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;26
2014;rd;14801021;Majorna-Linné, Sandarne;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801021;Majorna-Linné, Sandarne;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801021;Majorna-Linné, Sandarne;Män;Svenska medborgare;18-29 ej förstagångsväljare;184
2014;rd;14801021;Majorna-Linné, Sandarne;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;215
2014;rd;14801021;Majorna-Linné, Sandarne;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801021;Majorna-Linné, Sandarne;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801021;Majorna-Linné, Sandarne;Män;Svenska medborgare;30-49;362
2014;rd;14801021;Majorna-Linné, Sandarne;Kvinnor;Svenska medborgare;30-49;375
2014;rd;14801021;Majorna-Linné, Sandarne;Män;Ej svenska medborgare;30-49;0
2014;rd;14801021;Majorna-Linné, Sandarne;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801021;Majorna-Linné, Sandarne;Män;Svenska medborgare;50-64;139
2014;rd;14801021;Majorna-Linné, Sandarne;Kvinnor;Svenska medborgare;50-64;151
2014;rd;14801021;Majorna-Linné, Sandarne;Män;Ej svenska medborgare;50-64;0
2014;rd;14801021;Majorna-Linné, Sandarne;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801021;Majorna-Linné, Sandarne;Män;Svenska medborgare;65-;107
2014;rd;14801021;Majorna-Linné, Sandarne;Kvinnor;Svenska medborgare;65-;159
2014;rd;14801021;Majorna-Linné, Sandarne;Män;Ej svenska medborgare;65-;0
