kod_2010;namn_2010;kod_2022;namn_2022;overlapp_m2;andel_av_2010;andel_av_2022
14800261;Lärjedalen, Södra Hjällbo;14801010;Norra Hisingen, Bäckebol Norra;60.4;0.0001;0.0000
14800261;Lärjedalen, Södra Hjällbo;14800118;Nordöstra Göteborg, Agnesberg;27.5;0.0000;0.0000
14800261;Lärjedalen, Södra Hjällbo;14800222;Östra Göteborg, Nylöse;2.9;0.0000;0.0000
14800261;Lärjedalen, Södra Hjällbo;14800114;Nordöstra Göteborg, Bläsebo;1.0;0.0000;0.0000
14800262;Lärjedalen, Skolspåret;14800116;Nordöstra Göteborg, Skolspåret;112546.4;0.7701;0.7066
14800262;Lärjedalen, Skolspåret;14800117;Nordöstra Göteborg, Hjällbo Södra;32561.3;0.2228;0.0395
14800262;Lärjedalen, Skolspåret;14800115;Nordöstra Göteborg, Hjällbo Norra;1032.7;0.0071;0.0067
14800262;Lärjedalen, Skolspåret;14800118;Nordöstra Göteborg, Agnesberg;5.3;0.0000;0.0000
14800263;Lärjedalen, Norra Hjällbo;14800115;Nordöstra Göteborg, Hjällbo Norra;129570.1;0.4856;0.8445
14800263;Lärjedalen, Norra Hjällbo;14800114;Nordöstra Göteborg, Bläsebo;81845.2;0.3067;0.1665
14800263;Lärjedalen, Norra Hjällbo;14800116;Nordöstra Göteborg, Skolspåret;30349.1;0.1137;0.1905
14800263;Lärjedalen, Norra Hjällbo;14800118;Nordöstra Göteborg, Agnesberg;22691.4;0.0850;0.0047
14800263;Lärjedalen, Norra Hjällbo;14800112;Nordöstra Göteborg, Hammarkullen V;1919.6;0.0072;0.0074
14800263;Lärjedalen, Norra Hjällbo;14800117;Nordöstra Göteborg, Hjällbo Södra;457.2;0.0017;0.0006
14800264;Lärjedalen, Bläsebo;14800114;Nordöstra Göteborg, Bläsebo;373998.1;0.6123;0.7609
14800264;Lärjedalen, Bläsebo;14800113;Nordöstra Göteborg, Eriksbo Västra;221188.6;0.3621;0.4195
14800264;Lärjedalen, Bläsebo;14800117;Nordöstra Göteborg, Hjällbo Södra;13046.9;0.0214;0.0158
14800264;Lärjedalen, Bläsebo;14800116;Nordöstra Göteborg, Skolspåret;2537.4;0.0042;0.0159
14800264;Lärjedalen, Bläsebo;14800115;Nordöstra Göteborg, Hjällbo Norra;14.7;0.0000;0.0001
14800264;Lärjedalen, Bläsebo;14800112;Nordöstra Göteborg, Hammarkullen V;0.0;0.0000;0.0000
14800271;Lärjedalen, Eriksbo;14800108;Nordöstra Göteborg, Eriksbo Östra;604008.1;0.6510;0.9200
14800271;Lärjedalen, Eriksbo;14800113;Nordöstra Göteborg, Eriksbo Västra;305262.5;0.3290;0.5789
14800271;Lärjedalen, Eriksbo;14800111;Nordöstra Göteborg, Sandeslätt;12375.8;0.0133;0.0818
14800271;Lärjedalen, Eriksbo;14800105;Nordöstra Göteborg, Linnarhult;6130.6;0.0066;0.0014
14800271;Lärjedalen, Eriksbo;14800107;Nordöstra Göteborg, Storås;25.2;0.0000;0.0000
14800271;Lärjedalen, Eriksbo;14800112;Nordöstra Göteborg, Hammarkullen V;13.8;0.0000;0.0001
14800271;Lärjedalen, Eriksbo;14800202;Östra Göteborg, Gärdsmosse;1.6;0.0000;0.0000
14800271;Lärjedalen, Eriksbo;14800235;Östra Göteborg, Kortedala Norra;0.3;0.0000;0.0000
14800311;Kortedala, Gamlestaden;14800221;Östra Göteborg, Gamlestaden Södra;235083.0;0.7543;0.9838
14800311;Kortedala, Gamlestaden;14800220;Östra Göteborg, Gamlestaden Norra;46974.2;0.1507;0.4460
14800311;Kortedala, Gamlestaden;14800219;Östra Göteborg, Bellevue;29581.2;0.0949;0.1584
14800311;Kortedala, Gamlestaden;14800222;Östra Göteborg, Nylöse;32.0;0.0001;0.0000
14800311;Kortedala, Gamlestaden;14800218;Östra Göteborg, Bellevue Park;7.4;0.0000;0.0000
14800312;Kortedala, Nylöse;14800222;Östra Göteborg, Nylöse;3833837.7;0.9849;0.9999
14800312;Kortedala, Nylöse;14800220;Östra Göteborg, Gamlestaden Norra;58350.2;0.0150;0.5540
14800312;Kortedala, Nylöse;14801022;Norra Hisingen, Tingstad;110.5;0.0000;0.0001
14800312;Kortedala, Nylöse;14800117;Nordöstra Göteborg, Hjällbo Södra;93.4;0.0000;0.0001
14800312;Kortedala, Nylöse;14801021;Norra Hisingen, Bällskär;55.7;0.0000;0.0001
14800312;Kortedala, Nylöse;14801010;Norra Hisingen, Bäckebol Norra;37.1;0.0000;0.0000
14800312;Kortedala, Nylöse;14801011;Norra Hisingen, Backadalen;32.4;0.0000;0.0000
14800312;Kortedala, Nylöse;14801020;Norra Hisingen, Backa Norra;28.0;0.0000;0.0000
14800312;Kortedala, Nylöse;14800219;Östra Göteborg, Bellevue;18.8;0.0000;0.0001
14800312;Kortedala, Nylöse;14800223;Östra Göteborg, Kviberg Västra;4.4;0.0000;0.0000
14800312;Kortedala, Nylöse;14800221;Östra Göteborg, Gamlestaden Södra;0.8;0.0000;0.0000
14800312;Kortedala, Nylöse;14800227;Östra Göteborg, Kortedala Västra;0.2;0.0000;0.0000
14800313;Kortedala, Kviberg;14800216;Östra Göteborg, Kviberg Östra;1202993.3;0.4872;1.0000
14800313;Kortedala, Kviberg;14800223;Östra Göteborg, Kviberg Västra;893962.7;0.3620;1.0000
14800313;Kortedala, Kviberg;14800217;Östra Göteborg, Kvibergsnäs;255181.2;0.1033;0.9923
14800313;Kortedala, Kviberg;14800218;Östra Göteborg, Bellevue Park;113111.6;0.0458;0.4515
14800313;Kortedala, Kviberg;14800214;Östra Göteborg, Utby;1946.8;0.0008;0.0041
14800313;Kortedala, Kviberg;14800215;Östra Göteborg, Kamgatan m fl;1840.4;0.0007;0.0055
14800313;Kortedala, Kviberg;14800226;Östra Göteborg, Gregorianska G. m fl;210.0;0.0001;0.0008
14800313;Kortedala, Kviberg;14800213;Östra Göteborg, Utbynäs;66.7;0.0000;0.0001
14800313;Kortedala, Kviberg;14800222;Östra Göteborg, Nylöse;53.1;0.0000;0.0000
14800313;Kortedala, Kviberg;14800224;Östra Göteborg, Kortedala Södra;33.4;0.0000;0.0001
14800313;Kortedala, Kviberg;14800230;Östra Göteborg, Kortedala Östra;27.9;0.0000;0.0000
14800313;Kortedala, Kviberg;14800227;Östra Göteborg, Kortedala Västra;4.2;0.0000;0.0000
14800313;Kortedala, Kviberg;14800208;Östra Göteborg, Gärdsås;0.0;0.0000;0.0000
14800314;Kortedala, Bellevue;14800219;Östra Göteborg, Bellevue;157133.5;0.5272;0.8415
14800314;Kortedala, Bellevue;14800218;Östra Göteborg, Bellevue Park;137105.4;0.4600;0.5473
